지점,지점명,일시,기온(°C),이슬점온도(°C)
108,서울,2022-07-06 00:00,27.8,23.8
108,서울,2022-07-06 01:00,27.5,23.7
108,서울,2022-07-06 02:00,27.3,23.7
108,서울,2022-07-06 03:00,26.9,23.5
108,서울,2022-07-06 04:00,26.5,23.3
108,서울,2022-07-06 05:00,26.3,23.3
108,서울,2022-07-06 06:00,26.3,23.7
108,서울,2022-07-06 07:00,26.9,23.9
108,서울,2022-07-06 08:00,27.7,24.3
108,서울,2022-07-06 09:00,28.8,24.7
108,서울,2022-07-06 10:00,29.2,24.7
108,서울,2022-07-06 11:00,29.9,24.7
108,서울,2022-07-06 12:00,30.5,24.6
108,서울,2022-07-06 13:00,31.1,25.4
108,서울,2022-07-06 14:00,31.7,25.3
108,서울,2022-07-06 15:00,32.6,24.8
108,서울,2022-07-06 16:00,32.8,24.8
108,서울,2022-07-06 17:00,33.2,24.9
108,서울,2022-07-06 18:00,32.9,24.9
108,서울,2022-07-06 19:00,32.4,24.7
108,서울,2022-07-06 20:00,31.8,24.9
108,서울,2022-07-06 21:00,31.4,25.2
108,서울,2022-07-06 22:00,27.8,24.8
108,서울,2022-07-06 23:00,26.6,25